"Block","Lane","Passes","Vehicle","Water","Distance","GNDVI","LCI","NDRE","NDVI","OSAVI"
"A",1,"30","KXI","A",1,0.323537153075655,0.182291782206952,0.145163032067463,0.425635609045031,0.0805618419253015
"A",1,"30","KXI","A",2,0.280324793277327,0.175163296497844,0.142642975886859,0.393402405758423,0.0680809247290693
"A",1,"30","KXI","A",3,0.265216224760409,0.177003298685851,0.144055658917663,0.397825291147142,0.0622523650600409
"A",1,"30","KXI","A",4,0.272765363525038,0.177079245168446,0.14408882465069,0.395156348669709,0.0606622836370363
"A",1,"30","KXI","A",5,0.221560309795939,0.159810666480905,0.134426120481261,0.341627119092847,0.0457092098943638
"A",1,"30","KXI","A",6,0.207145263132268,0.148766814648323,0.125666751224294,0.325222313244876,0.0425211318473352
"A",1,"30","KXI","A",7,0.249667933785064,0.154716949756836,0.129045781570129,0.34824629483137,0.0526917464766548
"A",1,"30","KXI","A",8,0.291032243099821,0.166409678172208,0.136967353135989,0.374118365421059,0.0693601357896578
"A",1,"30","KXI","A",9,0.291503331468934,0.158294362588828,0.13251213383728,0.347649981904544,0.0701697063442598
"A",1,"30","KXI","A",10,0.322150875679421,0.164961998291481,0.134999670976961,0.380212538876978,0.0829724209413793
"A",1,"30","KXI","A",11,0.348564158416664,0.165687600636604,0.135442404482905,0.382337184854533,0.103352994642332
"A",1,"30","KXI","A",12,0.418990108016854,0.188932603357286,0.151357174280736,0.431778256834014,0.14963776721161
"A",1,"30","KXI","A",13,0.446437792800461,0.196736872706251,0.157684738878885,0.439883086739056,0.165310223088048
"A",1,"30","KXI","A",14,0.428171279696408,0.196613753157969,0.155943469527834,0.449269611815376,0.145819711643531
"A",1,"30","KXI","A",15,0.361980054646764,0.182708320678577,0.146884592880103,0.414254015517635,0.106001870712806
"A",1,"30","KXI","A",16,0.347694164972763,0.180251287465005,0.146980594265724,0.403246281776984,0.0836453346148829
"A",1,"30","KXI","A",17,0.339582287130504,0.17655134403913,0.142901472538902,0.40898684372688,0.0864179710024812
"A",1,"30","KXI","A",18,0.339952618789099,0.178011620851358,0.143818315383365,0.407393641660153,0.0912154249510204
"A",1,"30","KXI","A",19,0.33028624790255,0.178475966816482,0.145192702752677,0.401555650789884,0.0814090076473253
"A",1,"30","KXI","A",20,0.277132076448852,0.1605569361892,0.133864175152822,0.355032637032772,0.0638386844049556
"A",1,"30","KXI","A",21,0.246601333013893,0.151355568479248,0.127740621804219,0.332424141267545,0.056841819315723
"A",1,"30","KXI","A",22,0.260875264634603,0.157189525668618,0.131933741459681,0.343760598777691,0.0612786105343952
"A",1,"30","KXI","A",23,0.3121009874831,0.174929032428556,0.146310076229177,0.36672211973278,0.0781867222644252
"A",1,"30","KXI","A",24,0.35469653126137,0.183877314467588,0.152043533980625,0.389686778820221,0.106420986526365
"A",1,"30","KXI","A",25,0.398179606034009,0.192283272433638,0.156334153762352,0.416958747997209,0.145661853835433
"A",1,"30","KXI","A",26,0.434138747191858,0.202440905729578,0.163176367716526,0.43997932651989,0.180570300906844
"A",1,"30","KXI","A",27,0.458189483346143,0.213667335737106,0.170649734696082,0.462112502213784,0.206724968500828
"A",1,"30","KXI","A",28,0.42605650947697,0.192368499652363,0.154324489863303,0.429552938478707,0.191122953230433
"A",1,"30","KXI","A",29,0.434251600958296,0.189518103264306,0.155416405191309,0.405521556363289,0.199064933848036
"A",1,"30","KXI","A",30,0.441510997778469,0.189411459159289,0.158034392032908,0.38576839946304,0.193983547345342
"A",2,"1","KXI","W",1,0.235679860671339,0.159061237491218,0.125083322522464,0.423062993511737,0.0504716922480549
"A",2,"1","KXI","W",2,0.178973716652135,0.139705340108841,0.113863156858715,0.358577498152335,0.0399991958428924
"A",2,"1","KXI","W",3,0.135354090218678,0.126630397756634,0.106029238137912,0.313265535520303,0.0328744099282381
"A",2,"1","KXI","W",4,0.119108130796001,0.120818101449477,0.102712815021691,0.292067183224087,0.028847650321979
"A",2,"1","KXI","W",5,0.144460854134999,0.128949659878943,0.108433995289922,0.313933885850694,0.0324606571376918
"A",2,"1","KXI","W",6,0.155999151269149,0.131876578784904,0.10953883045096,0.32949968123427,0.0349685159816974
"A",2,"1","KXI","W",7,0.172409758610562,0.130829927962377,0.105438967800387,0.364964164834842,0.0395814004437351
"A",2,"1","KXI","W",8,0.254049059499427,0.15943549940985,0.122763753170281,0.451855827991797,0.0576313487381871
"A",2,"1","KXI","W",9,0.286725103769214,0.172219738144907,0.130667599237881,0.481762874537184,0.0633296790589452
"A",2,"1","KXI","W",10,0.266427148916334,0.166099900883941,0.127340344338689,0.462390025820157,0.0576130487112945
"A",2,"1","KXI","W",11,0.267048184694919,0.166514987347529,0.130077133898663,0.438861103593595,0.0581514570788219
"A",2,"1","KXI","W",12,0.297325390018291,0.178640884062789,0.137717115834411,0.469424022562137,0.0591645581940698
"A",2,"1","KXI","W",13,0.298260152011959,0.173552444616894,0.134053572181445,0.46437670518809,0.0606628555412456
"A",2,"1","KXI","W",14,0.321477104981992,0.178052587861332,0.135847002010327,0.485066871831284,0.0745543798844572
