Block,Lane,Passes,Vehicle,Water,Distance,GNDVI,LCI,NDRE,NDVI,OSAVI
C,1,1,KXI,W,1,0.426219552,0.239478228,0.188526002,0.508178696,0.095788909
C,1,1,KXI,W,2,0.449405812,0.252255147,0.197507374,0.525856576,0.111351891
C,1,1,KXI,W,3,0.567375432,0.273309915,0.207326844,0.590283193,0.272730908
C,1,1,KXI,W,4,0.575520585,0.268521815,0.200300311,0.609793717,0.326600847
C,1,1,KXI,W,5,0.555472606,0.246915944,0.18671929,0.56996506,0.304697247
C,1,1,KXI,W,6,0.525078773,0.22695854,0.17729668,0.506551141,0.274930653
C,1,1,KXI,W,7,0.51887339,0.222533099,0.174352085,0.49823606,0.273157633
C,1,1,KXI,W,8,0.546481026,0.241178856,0.184368019,0.549034867,0.291516701
C,1,1,KXI,W,9,0.522947775,0.226981569,0.176972647,0.508691045,0.271712514
C,1,1,KXI,W,10,0.524684823,0.236482293,0.187262665,0.498453277,0.271259693
C,1,1,KXI,W,11,0.518628648,0.232622555,0.186790876,0.476612562,0.250595356
C,1,1,KXI,W,12,0.533647213,0.236934621,0.188220344,0.49513708,0.266368609
C,1,1,KXI,W,13,0.551574113,0.252661029,0.198765101,0.523431876,0.284801676
C,1,1,KXI,W,14,0.543108843,0.248336305,0.197639987,0.502603352,0.270245046
C,1,1,KXI,W,15,0.526736748,0.236079696,0.188705145,0.48341064,0.255940122
C,1,1,KXI,W,16,0.52210141,0.235832853,0.186081949,0.490905734,0.278741048
C,1,1,KXI,W,17,0.585085277,0.284047213,0.215170849,0.60194571,0.306614588
C,1,1,KXI,W,18,0.578599662,0.267580974,0.206153549,0.566578297,0.322704353
C,1,1,KXI,W,19,0.572473129,0.261642305,0.197113236,0.589512337,0.304749237
C,1,1,KXI,W,20,0.546263752,0.236996095,0.181448093,0.54299093,0.285093361
C,1,1,KXI,W,21,0.543754923,0.232095178,0.179288555,0.527811334,0.281951835
C,1,1,KXI,W,22,0.538359033,0.226755311,0.175564573,0.520113436,0.282842853
C,1,1,KXI,W,23,0.485107475,0.204570048,0.166459599,0.431295221,0.217387789
C,1,1,KXI,W,24,0.434710373,0.176685877,0.140117364,0.406331543,0.211431919
C,1,1,KXI,W,25,0.551910667,0.234775443,0.177671898,0.558495275,0.285197843
C,1,1,KXI,W,26,0.495926999,0.20310557,0.162515063,0.453893496,0.228984409
C,1,1,KXI,W,27,0.494106092,0.197556861,0.158986447,0.440866848,0.233766006
C,1,1,KXI,W,28,0.467075374,0.18204854,0.151035326,0.387226718,0.218092164
