"Block","Vehicle","Distance","Lane","GNDVI","LCI","NDRE","NDVI","OSAVI"
"A","Standard",1,1,0.601642066584813,0.198540024949625,0.133953268157948,0.669292022262972,0.471275219265112
"A","Standard",2,1,0.562876224353494,0.174238892949136,0.121098932302372,0.609492368286972,0.419246797069844
"A","Standard",3,1,0.578641574656611,0.180521125525543,0.125263619752154,0.622951926351497,0.431391732514092
"A","Standard",4,1,0.566876979634208,0.178612113177003,0.124892759942163,0.602931623962861,0.410554146086713
"A","Standard",5,1,0.566394002066612,0.185318225394982,0.13233965907238,0.587641324807937,0.392264270113021
"A","Standard",6,1,0.54009464622769,0.175611366093514,0.127010814262676,0.557258314517168,0.366753212197374
"A","Standard",7,1,0.457363843851329,0.132454126061422,0.0997763140980633,0.44978138781613,0.288910631969452
"A","Standard",8,1,0.486715437362671,0.143561770388137,0.105976459089256,0.492277883500755,0.327023707575132
"A","Standard",9,1,0.480712075131242,0.136297687896592,0.0998872668340491,0.491635938615848,0.335490449467164
"A","Standard",10,1,0.489796837844498,0.143020863459857,0.104085353814322,0.507469260887798,0.349751283330001
"A","Standard",11,1,0.544789093871773,0.173128202207234,0.121842861805798,0.591555556332129,0.4069110506014
"A","Standard",12,1,0.542047523329876,0.174243522527392,0.12333408774485,0.585099380743004,0.400247175952674
"A","Standard",13,1,0.534254902091228,0.170354392434837,0.122137827568089,0.556147504090288,0.382247346166948
"A","Standard",14,1,0.55447958649673,0.172673163826093,0.121942650109035,0.58873806346631,0.404576535488598
"A","Standard",15,1,0.544096295553763,0.16842080824336,0.121298311898933,0.561084764611733,0.38076710330359
"A","Standard",16,1,0.554116464122082,0.176483412839027,0.124845696566195,0.590494024580165,0.396975573990619
"A","Standard",17,1,0.52191930235847,0.163932112310833,0.116736970749171,0.55524798286799,0.370986870916735
"A","Standard",18,1,0.515132826287337,0.162766676889625,0.119117982430076,0.525121881256435,0.348362111508278
"A","Standard",19,1,0.512037841676434,0.160265011409732,0.117191798170026,0.524636723985909,0.352044087336853
"A","Standard",20,1,0.51255164381419,0.153862616994672,0.111129057399369,0.535007066393459,0.355901891148829
"A","Standard",21,1,0.565766541133262,0.184452355019863,0.127800056697058,0.621459085079712,0.424434347803129
"A","Standard",22,1,0.570981599089127,0.183450571740925,0.127294789037723,0.621993987159066,0.420917361620253
"A","Standard",23,1,0.560260591772128,0.176389038871283,0.122709980990125,0.612000292842013,0.411602823836379
"A","Standard",24,1,0.525899556700092,0.157210590593937,0.112676208780669,0.552223089064662,0.360377663232371
"A","Standard",25,1,0.51537566995031,0.155263572411295,0.113107106425961,0.527964398767332,0.342548715841358
